USER_ID,EMAIL,CLICKED_EFFICIENCY,CLICKED_HUMAN_IMPACT,DONATED_AMOUNT,LOYALTY_LEVEL
donor_001,user_1@gmail.com,True,False,347,VIP
donor_002,user_2@techfirm.io,False,True,363,VIP
donor_003,user_3@university.edu,True,False,0,POTENTIAL
donor_004,user_4@techfirm.io,True,False,0,POTENTIAL
donor_005,user_5@university.edu,True,False,232,VIP
donor_006,user_6@consulting.com,False,True,0,POTENTIAL
donor_007,user_7@consulting.com,False,False,0,POTENTIAL
donor_008,user_8@outlook.com,False,False,0,POTENTIAL
donor_009,user_9@gmail.com,False,False,0,POTENTIAL
donor_010,user_10@techfirm.io,False,False,0,POTENTIAL
donor_011,user_11@gmail.com,True,False,0,POTENTIAL
donor_012,user_12@gmail.com,True,False,0,POTENTIAL
donor_013,user_13@gmail.com,False,True,0,POTENTIAL
donor_014,user_14@outlook.com,False,True,0,POTENTIAL
donor_015,user_15@techfirm.io,False,False,0,POTENTIAL
donor_016,user_16@techfirm.io,False,True,0,POTENTIAL
donor_017,user_17@consulting.com,True,True,477,VIP
donor_018,user_18@university.edu,False,True,0,POTENTIAL
donor_019,user_19@techfirm.io,True,True,495,VIP
donor_020,user_20@outlook.com,False,False,0,POTENTIAL
donor_021,user_21@gmail.com,True,False,0,POTENTIAL
donor_022,user_22@university.edu,True,False,0,POTENTIAL
donor_023,user_23@gmail.com,True,False,0,POTENTIAL
donor_024,user_24@gmail.com,True,False,0,POTENTIAL
donor_025,user_25@gmail.com,True,True,393,VIP
donor_026,user_26@techfirm.io,False,False,0,POTENTIAL
donor_027,user_27@gmail.com,False,False,0,POTENTIAL
donor_028,user_28@gmail.com,True,True,0,VIP
donor_029,user_29@consulting.com,True,False,0,POTENTIAL
donor_030,user_30@university.edu,False,True,0,POTENTIAL
donor_031,user_31@gmail.com,False,False,0,POTENTIAL
donor_032,user_32@techfirm.io,True,False,0,POTENTIAL
donor_033,user_33@techfirm.io,False,False,0,POTENTIAL
donor_034,user_34@outlook.com,False,False,0,POTENTIAL
donor_035,user_35@consulting.com,False,False,0,POTENTIAL
donor_036,user_36@consulting.com,False,True,0,POTENTIAL
donor_037,user_37@techfirm.io,False,False,0,POTENTIAL
donor_038,user_38@university.edu,False,True,0,POTENTIAL
donor_039,user_39@consulting.com,False,False,0,POTENTIAL
donor_040,user_40@gmail.com,True,True,311,VIP
donor_041,user_41@consulting.com,True,False,256,VIP
donor_042,user_42@gmail.com,True,False,0,POTENTIAL
donor_043,user_43@gmail.com,True,True,348,VIP
donor_044,user_44@techfirm.io,True,False,0,POTENTIAL
donor_045,user_45@gmail.com,False,False,0,POTENTIAL
donor_046,user_46@outlook.com,False,False,0,POTENTIAL
donor_047,user_47@university.edu,False,False,0,POTENTIAL
donor_048,user_48@gmail.com,True,False,0,POTENTIAL
donor_049,user_49@gmail.com,False,False,325,VIP
donor_050,user_50@gmail.com,True,False,0,POTENTIAL
donor_051,user_51@gmail.com,False,True,0,POTENTIAL
donor_052,user_52@gmail.com,True,False,0,POTENTIAL
donor_053,user_53@gmail.com,False,False,0,POTENTIAL
donor_054,user_54@outlook.com,False,True,189,VIP
donor_055,user_55@university.edu,False,False,0,POTENTIAL
donor_056,user_56@consulting.com,True,True,0,VIP
donor_057,user_57@university.edu,True,False,0,POTENTIAL
donor_058,user_58@outlook.com,False,True,0,POTENTIAL
donor_059,user_59@techfirm.io,True,False,0,POTENTIAL
donor_060,user_60@gmail.com,False,False,0,POTENTIAL
donor_061,user_61@consulting.com,False,False,0,POTENTIAL
donor_062,user_62@gmail.com,True,False,0,POTENTIAL
donor_063,user_63@gmail.com,False,False,0,POTENTIAL
donor_064,user_64@techfirm.io,False,False,0,POTENTIAL
donor_065,user_65@outlook.com,False,True,205,VIP
donor_066,user_66@outlook.com,False,True,0,POTENTIAL
donor_067,user_67@consulting.com,True,False,359,VIP
donor_068,user_68@outlook.com,False,False,0,POTENTIAL
donor_069,user_69@outlook.com,True,False,30,STANDARD
donor_070,user_70@university.edu,True,False,0,POTENTIAL
donor_071,user_71@techfirm.io,True,False,0,POTENTIAL
donor_072,user_72@outlook.com,False,False,0,POTENTIAL
donor_073,user_73@techfirm.io,False,False,0,POTENTIAL
donor_074,user_74@university.edu,True,True,0,VIP
donor_075,user_75@consulting.com,True,False,300,VIP
donor_076,user_76@techfirm.io,False,False,0,POTENTIAL
donor_077,user_77@outlook.com,False,True,0,POTENTIAL
donor_078,user_78@consulting.com,False,True,294,VIP
donor_079,user_79@university.edu,False,False,0,POTENTIAL
donor_080,user_80@outlook.com,False,True,458,VIP
donor_081,user_81@consulting.com,False,False,0,POTENTIAL
donor_082,user_82@techfirm.io,False,True,34,STANDARD
donor_083,user_83@techfirm.io,True,True,490,VIP
donor_084,user_84@university.edu,True,False,0,POTENTIAL
donor_085,user_85@outlook.com,False,True,351,VIP
donor_086,user_86@techfirm.io,False,False,0,POTENTIAL
donor_087,user_87@outlook.com,False,False,0,POTENTIAL
donor_088,user_88@techfirm.io,False,True,0,POTENTIAL
donor_089,user_89@techfirm.io,False,False,0,POTENTIAL
donor_090,user_90@gmail.com,True,True,0,VIP
donor_091,user_91@outlook.com,True,False,97,STANDARD
donor_092,user_92@consulting.com,False,False,0,POTENTIAL
donor_093,user_93@techfirm.io,False,True,0,POTENTIAL
donor_094,user_94@university.edu,False,False,0,POTENTIAL
donor_095,user_95@gmail.com,False,False,0,POTENTIAL
donor_096,user_96@gmail.com,False,False,0,POTENTIAL
donor_097,user_97@techfirm.io,True,False,0,POTENTIAL
donor_098,user_98@outlook.com,True,False,101,VIP
donor_099,user_99@techfirm.io,False,True,0,POTENTIAL
donor_100,user_100@university.edu,False,False,0,POTENTIAL
